bodyType,color,fuelType,productionDate,vehicleTransmission,engineDisplacement,enginePower,mileage,Привод,Руль,Состояние,Владельцы,ПТС,Таможня,Владение,Price
хэтчбек 5 дв.,синий,Бензин,2005,автоматическая,2.0,129,268500,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,1 год и 6 месяцев,365000
хэтчбек 5 дв.,белый,Бензин,2013,автоматическая,1.6,136,99000,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,820000
хэтчбек 5 дв.,чёрный,Бензин,2006,автоматическая,2.0,150,210000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,435000
хэтчбек 5 дв.,чёрный,Бензин,2010,автоматическая,1.6,115,98500,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,2 года и 11 месяцев,450000
хэтчбек 5 дв.,белый,Бензин,2009,автоматическая,1.6,115,178000,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,449000
купе,синий,Бензин,2008,автоматическая,3.0,218,94000,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,4 года и 7 месяцев,795000
купе,чёрный,Дизель,2008,автоматическая,2.0,177,210000,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,3 года и 11 месяцев,700000
хэтчбек 5 дв.,белый,Бензин,2009,автоматическая,1.6,115,181000,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,11 лет и 5 месяцев,400000
хэтчбек 3 дв.,белый,Бензин,2010,автоматическая,1.6,115,270000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,390000
хэтчбек 5 дв.,чёрный,Бензин,2007,автоматическая,2.0,136,194000,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,2 года и 4 месяца,430000
хэтчбек 3 дв.,белый,Бензин,2011,автоматическая,1.6,115,82000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,5 лет и 3 месяца,510000
хэтчбек 5 дв.,красный,Бензин,2013,автоматическая,1.6,136,70000,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,7 лет и 6 месяцев,765000
хэтчбек 5 дв.,чёрный,Бензин,2008,механическая,1.6,122,180000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,415000
хэтчбек 5 дв.,чёрный,Бензин,2010,автоматическая,2.0,136,111605,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,,565000
хэтчбек 5 дв.,чёрный,Бензин,2011,автоматическая,1.6,115,146969,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,,458000
хэтчбек 5 дв.,белый,Бензин,2011,автоматическая,1.6,115,120000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,570000
хэтчбек 5 дв.,чёрный,Бензин,2010,автоматическая,1.6,115,238000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,390000
хэтчбек 5 дв.,белый,Бензин,2011,автоматическая,1.6,136,218000,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,8 месяцев,575000
хэтчбек 5 дв.,коричневый,Бензин,2006,автоматическая,2.0,150,131000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,540000
хэтчбек 5 дв.,белый,Бензин,2013,автоматическая,1.6,136,95000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,700000
хэтчбек 3 дв.,чёрный,Бензин,2010,автоматическая,1.6,115,184984,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,459000
хэтчбек 3 дв.,чёрный,Бензин,2011,автоматическая,1.6,115,151000,задний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,8 лет и 7 месяцев,480000
хэтчбек 5 дв.,красный,Бензин,2008,автоматическая,2.0,136,115000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,7 лет и 11 месяцев,449000
хэтчбек 5 дв.,серый,Бензин,2006,автоматическая,2.0,150,220000,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,,430000
